IndID,polycode,value,label
Single_Person_Hhld,E01012663,41.2,LSOA: E01012663<br/>Proportion of single person households = 41.2%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012664,33.6,LSOA: E01012664<br/>Proportion of single person households = 33.6%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012665,39.4,LSOA: E01012665<br/>Proportion of single person households = 39.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012716,34,LSOA: E01012716<br/>Proportion of single person households = 34%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012719,28.3,LSOA: E01012719<br/>Proportion of single person households = 28.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012662,50.5,LSOA: E01012662<br/>Proportion of single person households = 50.5%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012703,34.8,LSOA: E01012703<br/>Proportion of single person households = 34.8%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012704,52.4,LSOA: E01012704<br/>Proportion of single person households = 52.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012706,30.9,LSOA: E01012706<br/>Proportion of single person households = 30.9%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012717,29.4,LSOA: E01012717<br/>Proportion of single person households = 29.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012666,42.3,LSOA: E01012666<br/>Proportion of single person households = 42.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012667,27,LSOA: E01012667<br/>Proportion of single person households = 27%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012668,34.5,LSOA: E01012668<br/>Proportion of single person households = 34.5%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012669,46.7,LSOA: E01012669<br/>Proportion of single person households = 46.7%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012718,30.6,LSOA: E01012718<br/>Proportion of single person households = 30.6%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012690,28.9,LSOA: E01012690<br/>Proportion of single person households = 28.9%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012691,27.7,LSOA: E01012691<br/>Proportion of single person households = 27.7%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012692,42.2,LSOA: E01012692<br/>Proportion of single person households = 42.2%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012705,40,LSOA: E01012705<br/>Proportion of single person households = 40%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012723,35,LSOA: E01012723<br/>Proportion of single person households = 35%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012693,32.6,LSOA: E01012693<br/>Proportion of single person households = 32.6%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012711,28.2,LSOA: E01012711<br/>Proportion of single person households = 28.2%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012747,21.5,LSOA: E01012747<br/>Proportion of single person households = 21.5%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012750,30.1,LSOA: E01012750<br/>Proportion of single person households = 30.1%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012681,63.2,LSOA: E01012681<br/>Proportion of single person households = 63.2%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012683,52.8,LSOA: E01012683<br/>Proportion of single person households = 52.8%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012748,47.4,LSOA: E01012748<br/>Proportion of single person households = 47.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012749,43.2,LSOA: E01012749<br/>Proportion of single person households = 43.2%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012707,42.4,LSOA: E01012707<br/>Proportion of single person households = 42.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012720,29.3,LSOA: E01012720<br/>Proportion of single person households = 29.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012721,42.3,LSOA: E01012721<br/>Proportion of single person households = 42.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012724,46,LSOA: E01012724<br/>Proportion of single person households = 46%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012678,36.8,LSOA: E01012678<br/>Proportion of single person households = 36.8%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012679,39.9,LSOA: E01012679<br/>Proportion of single person households = 39.9%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012680,37,LSOA: E01012680<br/>Proportion of single person households = 37%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012682,56,LSOA: E01012682<br/>Proportion of single person households = 56%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012684,41.7,LSOA: E01012684<br/>Proportion of single person households = 41.7%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012676,33.7,LSOA: E01012676<br/>Proportion of single person households = 33.7%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012677,34.7,LSOA: E01012677<br/>Proportion of single person households = 34.7%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012708,34.8,LSOA: E01012708<br/>Proportion of single person households = 34.8%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012709,37.1,LSOA: E01012709<br/>Proportion of single person households = 37.1%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012710,25.3,LSOA: E01012710<br/>Proportion of single person households = 25.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012722,29.4,LSOA: E01012722<br/>Proportion of single person households = 29.4%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012673,51.3,LSOA: E01012673<br/>Proportion of single person households = 51.3%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012675,37.8,LSOA: E01012675<br/>Proportion of single person households = 37.8%<br/><em>(2021 Census results)</em>
Single_Person_Hhld,E01012735,55.6,LSOA: E01012735<br/>Proportion of single person households = 55.6%<br/><em>(2021 Census results)</em>
